2026-03-27 20:52:48:349 | INFO | ================================================================================
2026-03-27 20:52:48:349 | INFO | ЗАПУСК МОДЕЛИ ПОДСТАНЦИИ 110/10 кВ)
2026-03-27 20:52:48:349 | INFO | ================================================================================
2026-03-27 20:52:48:350 | INFO | Подстанция загружена: SBS_110/10_kV
2026-03-27 20:52:49:351 | INFO | =============== ИТЕРАЦИЯ 1/10 ===============
2026-03-27 20:52:49:351 | INFO | Повреждённый элемент: W2.10 (Line)
2026-03-27 20:52:49:351 | INFO | Тип КЗ: ThreePhase
2026-03-27 20:52:49:351 | INFO | Ток КЗ: 4125.92 А
2026-03-27 20:52:49:351 | INFO | Основная защита не сработала
2026-03-27 20:52:49:853 | INFO | Сработала защита: Резервная (1900.0 А)
2026-03-27 20:52:49:853 | INFO | Результат работы защиты: Успешно (Резервная)
2026-03-27 20:52:49:853 | INFO | Отключенные выключатели: QF10.10
2026-03-27 20:52:50:855 | INFO | =============== ИТЕРАЦИЯ 2/10 ===============
2026-03-27 20:52:50:855 | INFO | Повреждённый элемент: W1.110 (Line)
2026-03-27 20:52:50:855 | INFO | Тип КЗ: SinglePhase
2026-03-27 20:52:50:856 | INFO | Ток КЗ: 279.26 А
2026-03-27 20:52:50:856 | ERROR | Результат работы защиты: ОТКАЗ (обе защиты не сработали)
2026-03-27 20:52:50:856 | INFO | Отключенные выключатели: нет
2026-03-27 20:52:51:857 | INFO | =============== ИТЕРАЦИЯ 3/10 ===============
2026-03-27 20:52:51:857 | INFO | Повреждённый элемент: W1.10 (Line)
2026-03-27 20:52:51:858 | INFO | Тип КЗ: TwoPhase
2026-03-27 20:52:51:858 | INFO | Ток КЗ: 2338.18 А
2026-03-27 20:52:51:858 | INFO | Сработала защита: Основная (2100.0 А)
2026-03-27 20:52:51:858 | INFO | Результат работы защиты: Успешно (Основная)
2026-03-27 20:52:51:859 | INFO | Отключенные выключатели: QF9.10
2026-03-27 20:52:52:860 | INFO | =============== ИТЕРАЦИЯ 4/10 ===============
2026-03-27 20:52:52:860 | INFO | Повреждённый элемент: W3.110 (Line)
2026-03-27 20:52:52:860 | INFO | Тип КЗ: ThreePhase
2026-03-27 20:52:52:861 | INFO | Ток КЗ: 793.38 А
2026-03-27 20:52:52:861 | INFO | Сработала защита: Основная (290.0 А)
2026-03-27 20:52:52:861 | INFO | Результат работы защиты: Успешно (Основная)
2026-03-27 20:52:52:862 | INFO | Отключенные выключатели: QF3.110
2026-03-27 20:52:53:863 | INFO | =============== ИТЕРАЦИЯ 5/10 ===============
2026-03-27 20:52:53:863 | INFO | Повреждённый элемент: B1.1_10 (Bus)
2026-03-27 20:52:53:863 | INFO | Тип КЗ: TwoPhase
2026-03-27 20:52:53:864 | INFO | Ток КЗ: 1999.85 А
2026-03-27 20:52:53:864 | ERROR | Результат работы защиты: ОТКАЗ (обе защиты не сработали)
2026-03-27 20:52:53:864 | INFO | Отключенные выключатели: нет
2026-03-27 20:52:54:866 | INFO | =============== ИТЕРАЦИЯ 6/10 ===============
2026-03-27 20:52:54:866 | INFO | Повреждённый элемент: W2.10 (Line)
2026-03-27 20:52:54:866 | INFO | Тип КЗ: TwoPhase
2026-03-27 20:52:54:866 | INFO | Ток КЗ: 2568.22 А
2026-03-27 20:52:54:866 | INFO | Сработала защита: Основная (1900.0 А)
2026-03-27 20:52:54:866 | INFO | Результат работы защиты: Успешно (Основная)
2026-03-27 20:52:54:867 | INFO | Отключенные выключатели: QF10.10
2026-03-27 20:52:55:867 | INFO | =============== ИТЕРАЦИЯ 7/10 ===============
2026-03-27 20:52:55:868 | INFO | Повреждённый элемент: W3.10 (Line)
2026-03-27 20:52:55:868 | INFO | Тип КЗ: ThreePhase
2026-03-27 20:52:55:868 | INFO | Ток КЗ: 4776.85 А
2026-03-27 20:52:55:869 | INFO | Основная защита не сработала
2026-03-27 20:52:56:369 | INFO | Сработала защита: Резервная (2200.0 А)
2026-03-27 20:52:56:370 | INFO | Результат работы защиты: Успешно (Резервная)
2026-03-27 20:52:56:370 | INFO | Отключенные выключатели: QF11.10
2026-03-27 20:52:57:371 | INFO | =============== ИТЕРАЦИЯ 8/10 ===============
2026-03-27 20:52:57:371 | INFO | Повреждённый элемент: W3.110 (Line)
2026-03-27 20:52:57:371 | INFO | Тип КЗ: ThreePhase
2026-03-27 20:52:57:371 | INFO | Ток КЗ: 804.27 А
2026-03-27 20:52:57:371 | INFO | Сработала защита: Основная (290.0 А)
2026-03-27 20:52:57:372 | INFO | Результат работы защиты: Успешно (Основная)
2026-03-27 20:52:57:372 | INFO | Отключенные выключатели: QF3.110
2026-03-27 20:52:58:373 | INFO | =============== ИТЕРАЦИЯ 9/10 ===============
2026-03-27 20:52:58:373 | INFO | Повреждённый элемент: W1.10 (Line)
2026-03-27 20:52:58:374 | INFO | Тип КЗ: TwoPhase
2026-03-27 20:52:58:374 | INFO | Ток КЗ: 2917.80 А
2026-03-27 20:52:58:374 | INFO | Сработала защита: Основная (2100.0 А)
2026-03-27 20:52:58:374 | INFO | Результат работы защиты: Успешно (Основная)
2026-03-27 20:52:58:375 | INFO | Отключенные выключатели: QF9.10
2026-03-27 20:52:59:376 | INFO | =============== ИТЕРАЦИЯ 10/10 ===============
2026-03-27 20:52:59:376 | INFO | Повреждённый элемент: W1.110 (Line)
2026-03-27 20:52:59:376 | INFO | Тип КЗ: TwoPhase
2026-03-27 20:52:59:377 | INFO | Ток КЗ: 281.61 А
2026-03-27 20:52:59:377 | INFO | Сработала защита: Основная (280.0 А)
2026-03-27 20:52:59:377 | INFO | Результат работы защиты: Успешно (Основная)
2026-03-27 20:52:59:377 | INFO | Отключенные выключатели: QF1.110
2026-03-27 20:52:59:377 | INFO | ================================================================================
2026-03-27 20:52:59:377 | INFO | МОДЕЛИРОВАНИЕ ЗАВЕРШЕНО
2026-03-27 20:52:59:377 | INFO | ================================================================================
